Key,"Total Points","Quals Score","Teleop Defenses Breached","Teleop Tower Captured","Auto Points","Auto Crossing Points","Auto Reach Points","Auto Boulder Points","Auto Boulders High","Auto Low Boulders","33 Auto","Robot 1 Auto","Robot 2 Auto","Robot 3 Auto","Teleop Score","Teleop Crossing Points","Teleop Boulder Points","Teleop Challenge Points","Teleop Scale Points","Teleop Boulders Low","Teleop Boulders High","Tower End Strength","Category A","Category A Crossings","Category B","Category B Crossings","Category C","Category C Crossings","Category D","Category D Crossings","Category E","Category E Crossings","Foul Points","Foul Count","Tech Foul Count","Tower Face A","Tower Face B","Tower Face C","Breach Points","Capture Points","Adjust Points",Color
2016miwat_f1m1,178,133,1,1,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,98,30,33,5,30,4,5,2,A_ChevalDeFrise,2,B_Moat,2,C_SallyPort,1,D_RockWall,2,E_LowBar,2,5,0,0,Scaled,Scaled,Challenged,20,25,0,red
2016miwat_f1m2,177,132,1,1,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,97,35,37,10,15,1,7,4,A_ChevalDeFrise,2,B_Moat,2,C_SallyPort,2,D_RockWall,2,E_LowBar,2,5,0,0,Challenged,Scaled,Challenged,20,25,0,red
2016miwat_qf1m1,158,113,1,1,20,20,0,0,0,0,Crossed,Crossed,Crossed,None,88,30,33,10,15,4,5,6,A_ChevalDeFrise,2,B_Moat,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,5,2,1,Scaled,Challenged,Challenged,20,25,0,red
2016miwat_qf1m2,185,140,1,1,22,20,2,0,0,0,Crossed,Crossed,Crossed,Reached,98,30,33,5,30,4,5,6,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,20,0,0,Scaled,Scaled,Challenged,20,25,0,red
2016miwat_qm14,55,55,,,0,0,0,0,0,0,None,None,None,None,20,20,0,0,0,0,0,10,A_ChevalDeFrise,0,B_Ramparts,2,C_Drawbridge,0,D_RockWall,2,E_LowBar,0,35,1,0,Unknown,Unknown,Unknown,0,0,0,blue
2016miwat_qm22,59,59,1,,20,20,0,0,0,0,None,Crossed,Crossed,None,39,30,4,5,0,2,0,5,A_Portcullis,2,B_Ramparts,2,C_SallyPort,0,D_RoughTerrain,2,E_LowBar,2,0,0,0,Unknown,Challenged,None,0,0,0,red
2016miwat_qm28,74,74,,,20,10,0,10,1,0,Crossed,None,Crossed,None,54,30,14,10,0,2,2,6,A_Portcullis,1,B_Moat,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,0,0,0,Challenged,Challenged,None,0,0,0,blue
2016miwat_qm36,99,99,1,,12,10,2,0,0,0,None,None,Crossed,Reached,87,45,27,15,0,1,5,8,A_Portcullis,2,B_Ramparts,2,C_SallyPort,2,D_RockWall,2,E_LowBar,2,0,0,0,Challenged,Challenged,Challenged,0,0,0,red
2016miwat_qm42,85,85,1,,0,0,0,0,0,0,None,None,None,None,85,50,20,15,0,0,4,7,A_Portcullis,2,B_Moat,2,C_Drawbridge,2,D_RockWall,2,E_LowBar,2,0,0,0,Challenged,Challenged,Challenged,0,0,0,blue
2016miwat_qm49,102,102,1,,20,10,0,10,1,0,Crossed,None,None,Crossed,77,35,27,15,0,1,5,7,A_Portcullis,2,B_Moat,2,C_SallyPort,0,D_RoughTerrain,2,E_LowBar,2,5,1,0,Challenged,Challenged,Challenged,0,0,0,blue
2016miwat_qm56,108,108,1,1,20,20,0,0,0,0,Crossed,Crossed,Crossed,None,73,30,28,15,0,4,4,6,A_ChevalDeFrise,2,B_Moat,2,C_Drawbridge,0,D_RockWall,2,E_LowBar,2,15,0,0,Challenged,Challenged,Challenged,0,0,0,red
