Key,"Total Points","Quals Score","Teleop Defenses Breached","Teleop Tower Captured","Auto Points","Auto Crossing Points","Auto Reach Points","Auto Boulder Points","Auto Boulders High","Auto Low Boulders","329 Auto","Robot 1 Auto","Robot 2 Auto","Robot 3 Auto","Teleop Score","Teleop Crossing Points","Teleop Boulder Points","Teleop Challenge Points","Teleop Scale Points","Teleop Boulders Low","Teleop Boulders High","Tower End Strength","Category A","Category A Crossings","Category B","Category B Crossings","Category C","Category C Crossings","Category D","Category D Crossings","Category E","Category E Crossings","Foul Points","Foul Count","Tech Foul Count","Tower Face A","Tower Face B","Tower Face C","Breach Points","Capture Points","Adjust Points",Color
2017nyli_qm42,,E_LowBar,0,79,1,Mobility,,0,4,180,100,1,1,Mobility,259,0,blue,ReadyForTakeoff,0,15,0,1,0,60,0,Mobility,,80,4,0,Mobility,0,ReadyForTakeoff,None,4,,259,0
2017nyli_qm52,,E_LowBar,0,82,1,Mobility,,0,0,230,150,1,1,Mobility,312,0,blue,ReadyForTakeoff,0,15,0,1,2,60,0,Mobility,,80,7,0,Mobility,0,ReadyForTakeoff,ReadyForTakeoff,7,,312,0
2017nyli_qm60,,E_LowBar,0,21,1,Mobility,,0,2,220,100,1,,Mobility,241,0,red,ReadyForTakeoff,0,15,0,1,0,0,0,Mobility,,120,6,0,Mobility,0,None,ReadyForTakeoff,6,,241,0
2017nyli_qm66,,E_LowBar,0,81,1,Mobility,,0,0,230,150,1,1,Mobility,311,0,blue,ReadyForTakeoff,0,15,0,1,2,60,0,Mobility,,80,6,0,Mobility,0,ReadyForTakeoff,ReadyForTakeoff,6,,311,0
2017nyli_qm75,,E_LowBar,5,15,1,Mobility,,0,0,220,100,1,,Mobility,240,0,red,None,0,15,0,1,0,0,0,Mobility,,120,0,0,Mobility,0,ReadyForTakeoff,ReadyForTakeoff,0,,240,0
2017nyli_qm85,,E_LowBar,0,72,1,Mobility,,0,0,230,150,1,1,Mobility,302,0,red,ReadyForTakeoff,0,10,0,1,2,60,0,None,,80,2,0,Mobility,0,ReadyForTakeoff,ReadyForTakeoff,2,,302,0
2017nyli_sf1m1,,E_LowBar,0,79,1,Mobility,,0,0,180,100,1,1,Mobility,259,0,red,ReadyForTakeoff,0,15,0,1,,60,0,Mobility,,80,4,1,Mobility,0,None,ReadyForTakeoff,4,,259,0
2017nyli_sf1m2,,E_LowBar,0,79,1,Mobility,,0,0,230,150,1,1,Mobility,309,0,red,ReadyForTakeoff,1,15,0,1,,60,0,Mobility,,80,4,2,Mobility,0,ReadyForTakeoff,ReadyForTakeoff,4,,309,0
2017nyli_sf1m3,,E_LowBar,0,82,1,Mobility,,0,0,180,100,1,1,Mobility,262,0,red,ReadyForTakeoff,0,15,0,1,,60,0,Mobility,,80,7,1,Mobility,0,ReadyForTakeoff,None,7,,262,0
2017cur_qm109,1,E_LowBar,5,82,1,Mobility,,0,0,270,150,1,1,Mobility,357,0,blue,ReadyForTakeoff,1,15,0,1,1,60,0,Mobility,,120,7,2,Mobility,0,ReadyForTakeoff,ReadyForTakeoff,7,1,357,0
2017cur_qm19,,E_LowBar,0,75,1,Mobility,,0,1,180,100,1,1,Mobility,255,0,red,ReadyForTakeoff,0,15,0,1,0,60,0,Mobility,,80,0,0,Mobility,0,None,ReadyForTakeoff,0,,255,0
2017cur_qm33,,E_LowBar,0,75,1,Mobility,,0,2,180,100,1,1,Mobility,255,0,red,ReadyForTakeoff,1,15,0,1,0,60,0,Mobility,,80,0,0,Mobility,0,ReadyForTakeoff,None,0,,255,0
2017cur_qm44,1,E_LowBar,0,80,1,Mobility,,0,0,275,150,1,1,Mobility,355,20,blue,ReadyForTakeoff,0,15,5,1,1,60,0,Mobility,,120,5,11,Mobility,0,ReadyForTakeoff,ReadyForTakeoff,5,1,355,0
2017cur_qm49,1,E_LowBar,0,79,1,Mobility,,0,0,270,150,1,1,Mobility,349,0,blue,ReadyForTakeoff,0,15,0,1,3,60,0,Mobility,,120,4,0,Mobility,0,ReadyForTakeoff,ReadyForTakeoff,4,1,349,0
2017cur_qm64,1,E_LowBar,0,75,1,Mobility,,0,0,271,150,1,1,Mobility,346,0,blue,ReadyForTakeoff,2,15,1,1,3,60,0,Mobility,,120,0,2,Mobility,1,ReadyForTakeoff,ReadyForTakeoff,0,1,346,0
2017cur_qm69,,E_LowBar,10,78,1,Mobility,,0,0,130,50,1,1,Mobility,218,0,red,None,1,15,0,1,0,60,0,Mobility,,80,3,2,Mobility,0,ReadyForTakeoff,None,3,,218,0
2017cur_qm84,1,E_LowBar,50,75,1,Mobility,,0,0,270,150,1,1,Mobility,395,0,red,ReadyForTakeoff,0,15,0,1,3,60,0,Mobility,,120,0,0,Mobility,0,ReadyForTakeoff,ReadyForTakeoff,0,1,395,0
2017cur_qm9,1,E_LowBar,0,75,1,Mobility,,0,0,220,100,1,1,Mobility,295,2,red,ReadyForTakeoff,1,15,0,1,1,60,0,Mobility,,120,0,0,Mobility,0,None,ReadyForTakeoff,0,1,295,0
2017cur_qm96,1,E_LowBar,5,76,1,Mobility,,0,0,225,100,1,1,Mobility,306,1,blue,None,0,15,5,1,3,60,0,Mobility,,120,1,17,Mobility,0,ReadyForTakeoff,ReadyForTakeoff,1,1,306,0
