Key,"Total Points","Quals Score","Teleop Defenses Breached","Teleop Tower Captured","Auto Points","Auto Crossing Points","Auto Reach Points","Auto Boulder Points","Auto Boulders High","Auto Low Boulders","6221 Auto","Robot 1 Auto","Robot 2 Auto","Robot 3 Auto","Teleop Score","Teleop Crossing Points","Teleop Boulder Points","Teleop Challenge Points","Teleop Scale Points","Teleop Boulders Low","Teleop Boulders High","Tower End Strength","Category A","Category A Crossings","Category B","Category B Crossings","Category C","Category C Crossings","Category D","Category D Crossings","Category E","Category E Crossings","Foul Points","Foul Count","Tech Foul Count","Tower Face A","Tower Face B","Tower Face C","Breach Points","Capture Points","Adjust Points",Color
2016azfl_qf3m1,98,78,1,,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,48,25,8,15,0,4,0,-2,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,0,0,0,Challenged,Challenged,Challenged,20,0,0,blue
2016azfl_qf3m2,101,81,1,,22,20,2,0,0,0,Reached,Reached,Crossed,Crossed,54,35,4,15,0,2,0,-2,A_ChevalDeFrise,2,B_Moat,2,C_SallyPort,1,D_RockWall,2,E_LowBar,2,5,0,0,Challenged,Challenged,Challenged,20,0,0,blue
2016azfl_qm16,85,85,1,,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,55,30,10,15,0,5,0,4,A_Portcullis,2,B_Ramparts,2,C_SallyPort,1,D_RoughTerrain,2,E_LowBar,2,0,0,0,Challenged,Challenged,Challenged,0,0,0,blue
2016azfl_qm22,50,50,,,14,10,4,0,0,0,Crossed,Crossed,Reached,Reached,36,20,6,10,0,3,0,2,A_ChevalDeFrise,1,B_Moat,2,C_SallyPort,0,D_RockWall,0,E_LowBar,2,0,1,0,Challenged,Challenged,Unknown,0,0,0,red
2016azfl_qm31,73,73,1,,14,10,4,0,0,0,Reached,Crossed,Reached,Reached,59,35,4,5,15,2,0,8,A_Portcullis,2,B_Ramparts,2,C_Drawbridge,0,D_RockWall,2,E_LowBar,2,0,0,0,Unknown,Scaled,Challenged,0,0,0,red
2016azfl_qm43,61,61,,,22,20,2,0,0,0,Crossed,Reached,Crossed,Crossed,39,20,9,10,0,2,1,-1,A_ChevalDeFrise,0,B_Ramparts,2,C_SallyPort,0,D_RoughTerrain,2,E_LowBar,2,0,2,0,Challenged,Challenged,None,0,0,0,red
2016azfl_qm47,88,88,1,,20,20,0,0,0,0,Crossed,Crossed,None,Crossed,58,30,13,15,0,4,1,6,A_ChevalDeFrise,2,B_Ramparts,2,C_Drawbridge,0,D_RoughTerrain,2,E_LowBar,2,10,0,0,Challenged,Challenged,Challenged,0,0,0,blue
2016azfl_qm53,90,90,1,1,22,20,2,0,0,0,Crossed,Crossed,Reached,Crossed,63,30,18,15,0,9,0,8,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,5,0,0,Challenged,Challenged,Challenged,0,0,0,blue
2016azfl_qm66,75,75,,,22,20,2,0,0,0,Crossed,Crossed,Reached,Crossed,48,25,18,5,0,4,2,6,A_Portcullis,0,B_Moat,2,C_SallyPort,1,D_RockWall,2,E_LowBar,2,5,0,0,Challenged,None,None,0,0,0,red
2016azfl_qm73,90,90,1,,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,60,35,10,15,0,5,0,6,A_ChevalDeFrise,2,B_Ramparts,2,C_Drawbridge,2,D_RoughTerrain,2,E_LowBar,2,0,0,0,Challenged,Challenged,Challenged,0,0,0,red
2016azfl_qm8,69,69,1,,22,20,2,0,0,0,Reached,Crossed,Crossed,Reached,47,30,2,15,0,1,0,6,A_ChevalDeFrise,0,B_Ramparts,2,C_Drawbridge,2,D_RockWall,2,E_LowBar,2,0,1,1,Challenged,Challenged,Challenged,0,0,0,red
2016azfl_qm80,92,92,1,,22,20,2,0,0,0,Crossed,Crossed,Crossed,Reached,65,40,10,15,0,5,0,2,A_ChevalDeFrise,2,B_Moat,2,C_SallyPort,2,D_RoughTerrain,2,E_LowBar,2,5,3,0,Challenged,Challenged,Challenged,0,0,0,blue
