Key,"Total Points","Quals Score","Teleop Defenses Breached","Teleop Tower Captured","Auto Points","Auto Crossing Points","Auto Reach Points","Auto Boulder Points","Auto Boulders High","Auto Low Boulders","1099 Auto","Robot 1 Auto","Robot 2 Auto","Robot 3 Auto","Teleop Score","Teleop Crossing Points","Teleop Boulder Points","Teleop Challenge Points","Teleop Scale Points","Teleop Boulders Low","Teleop Boulders High","Tower End Strength","Category A","Category A Crossings","Category B","Category B Crossings","Category C","Category C Crossings","Category D","Category D Crossings","Category E","Category E Crossings","Foul Points","Foul Count","Tech Foul Count","Tower Face A","Tower Face B","Tower Face C","Breach Points","Capture Points","Adjust Points",Color
2016tes_qm1,124,124,1,,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,94,30,39,10,15,2,7,-1,A_ChevalDeFrise,2,B_Moat,2,C_SallyPort,1,D_RoughTerrain,2,E_LowBar,2,0,0,0,Challenged,Scaled,Challenged,0,0,0,red
blue,0,,E_LowBar,0
red,0,,E_LowBar,0
2016tes_qm21,119,119,1,,40,30,0,10,1,0,Crossed,Crossed,Crossed,Crossed,79,35,19,10,15,7,1,9,A_Portcullis,2,B_Moat,2,C_SallyPort,2,D_RockWall,2,E_LowBar,2,0,0,0,Challenged,Scaled,Challenged,0,0,0,blue
2016tes_qm27,161,161,1,1,40,30,0,10,1,0,Crossed,Crossed,Crossed,Crossed,121,35,61,10,15,3,11,-1,A_ChevalDeFrise,2,B_Moat,2,C_SallyPort,2,D_RockWall,2,E_LowBar,2,0,0,0,Challenged,Scaled,Challenged,0,0,0,blue
2016tes_qm42,0,0,,,0,0,0,0,0,0,None,None,None,None,0,0,0,0,0,0,0,0,A_ChevalDeFrise,0,B_Ramparts,0,C_SallyPort,0,D_RockWall,0,E_LowBar,0,0,0,0,None,None,None,0,0,0,red
red,0,,E_LowBar,0
blue,0,,E_LowBar,0
red,0,,E_LowBar,0
red,0,,E_LowBar,0
2016necmp_qm102,118,118,1,1,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,83,25,33,10,15,14,1,-2,A_ChevalDeFrise,2,B_Ramparts,2,C_Drawbridge,0,D_RoughTerrain,2,E_LowBar,2,5,0,0,Challenged,Scaled,Challenged,0,0,0,red
2016necmp_qm112,101,101,1,,14,10,4,0,0,0,Reached,Crossed,Reached,Reached,87,45,22,5,15,6,2,-3,A_Portcullis,2,B_Moat,2,C_SallyPort,2,D_RockWall,2,E_LowBar,2,0,2,1,Unknown,Scaled,Challenged,0,0,0,blue
2016necmp_qm117,129,129,1,1,35,30,0,5,0,1,Crossed,Crossed,Crossed,Crossed,94,30,39,10,15,7,5,-7,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,1,D_RockWall,2,E_LowBar,2,0,0,0,Challenged,Scaled,Challenged,0,0,0,red
2016necmp_qm12,92,92,1,,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,62,25,27,10,0,6,3,0,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,0,0,1,Challenged,None,Challenged,0,0,0,red
2016necmp_qm26,132,132,1,1,45,30,0,15,1,1,Crossed,Crossed,Crossed,Crossed,87,35,27,10,15,6,3,1,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,2,D_RockWall,2,E_LowBar,2,0,0,0,Scaled,Challenged,Challenged,0,0,0,red
2016necmp_qm3,124,124,1,1,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,94,25,54,15,0,2,10,-3,A_ChevalDeFrise,2,B_Moat,2,C_SallyPort,0,D_RoughTerrain,2,E_LowBar,2,0,1,0,Challenged,Challenged,Challenged,0,0,0,blue
2016necmp_qm34,107,107,1,,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,72,25,32,15,0,1,6,-6,A_Portcullis,2,B_Moat,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,5,0,0,Challenged,Challenged,Challenged,0,0,0,blue
2016necmp_qm43,103,103,1,1,35,30,0,5,0,1,Crossed,Crossed,Crossed,Crossed,68,35,18,15,0,9,0,-3,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,2,D_RoughTerrain,2,E_LowBar,2,0,0,0,Challenged,Challenged,Challenged,0,0,0,blue
2016necmp_qm53,136,136,1,1,22,20,2,0,0,0,Crossed,Crossed,Crossed,Reached,114,30,49,5,30,7,7,-1,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,0,0,2,Scaled,Scaled,Challenged,0,0,0,blue
2016necmp_qm67,81,81,1,,40,30,0,10,1,0,Crossed,Crossed,Crossed,Crossed,41,25,6,10,0,3,0,2,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,0,3,0,Challenged,None,Challenged,0,0,0,red
2016necmp_qm82,90,90,1,,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,60,35,10,15,0,5,0,5,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,2,D_RoughTerrain,2,E_LowBar,2,0,0,1,Challenged,Challenged,Challenged,0,0,0,blue
2016necmp_qm91,96,96,1,1,22,20,2,0,0,0,Crossed,Crossed,Crossed,Reached,74,35,24,15,0,12,0,3,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,1,D_RockWall,2,E_LowBar,2,0,0,0,Challenged,Challenged,Challenged,0,0,0,blue
2016ctwat_f1m1,93,73,1,,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,43,25,8,10,0,4,0,-1,A_ChevalDeFrise,2,B_Moat,2,C_Drawbridge,0,D_RockWall,2,E_LowBar,2,0,0,0,Challenged,Challenged,None,20,0,0,blue
2016ctwat_f1m2,105,85,1,,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,55,25,10,5,15,5,0,-3,A_ChevalDeFrise,2,B_Moat,2,C_Drawbridge,0,D_RockWall,2,E_LowBar,2,0,2,0,Challenged,Scaled,Unknown,20,0,0,blue
2016ctwat_qf3m1,114,94,1,,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,64,25,14,10,15,7,0,4,A_Portcullis,2,B_Ramparts,2,C_Drawbridge,0,D_RockWall,2,E_LowBar,2,0,0,0,Challenged,Scaled,Challenged,20,0,0,red
2016ctwat_qf3m2,114,94,1,,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,64,25,14,10,15,7,0,4,A_Portcullis,2,B_Ramparts,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,0,0,0,Challenged,Scaled,Challenged,20,0,0,red
2016ctwat_qm13,45,45,1,,0,0,0,0,0,0,None,None,None,None,45,40,0,5,0,0,0,5,A_ChevalDeFrise,0,B_Moat,2,C_SallyPort,2,D_RoughTerrain,2,E_LowBar,2,0,0,0,None,Challenged,Unknown,0,0,0,blue
2016ctwat_qm17,70,70,1,,12,10,2,0,0,0,Crossed,None,Reached,Crossed,53,35,8,10,0,4,0,7,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,5,0,0,Challenged,Challenged,Unknown,0,0,0,red
2016ctwat_qm25,88,88,1,,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,38,25,8,5,0,4,0,8,A_Portcullis,0,B_Moat,2,C_Drawbridge,2,D_RockWall,2,E_LowBar,2,20,1,0,Challenged,Unknown,Unknown,0,0,0,blue
2016ctwat_qm29,71,71,1,,12,10,2,0,0,0,Crossed,Crossed,None,Reached,54,35,9,10,0,2,1,6,A_Portcullis,2,B_Ramparts,2,C_Drawbridge,0,D_RoughTerrain,2,E_LowBar,2,5,0,0,None,Challenged,Challenged,0,0,0,red
2016ctwat_qm33,87,87,1,1,22,20,2,0,0,0,Reached,Crossed,Reached,Crossed,65,30,20,15,0,10,0,6,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,0,D_RoughTerrain,2,E_LowBar,2,0,1,0,Challenged,Challenged,Challenged,0,0,0,red
2016ctwat_qm39,73,73,1,,22,20,2,0,0,0,Reached,Crossed,Crossed,Reached,51,30,11,10,0,3,1,7,A_ChevalDeFrise,0,B_Moat,2,C_Drawbridge,2,D_RockWall,2,E_LowBar,2,0,1,0,None,Challenged,Challenged,0,0,0,red
2016ctwat_qm4,48,48,,,10,10,0,0,0,0,Crossed,None,Crossed,None,38,25,8,5,0,4,0,8,A_Portcullis,0,B_Moat,2,C_SallyPort,1,D_RockWall,2,E_LowBar,1,0,0,0,Challenged,None,None,0,0,0,blue
2016ctwat_qm50,78,78,1,,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,48,30,8,10,0,4,0,5,A_Portcullis,1,B_Moat,2,C_Drawbridge,2,D_RockWall,2,E_LowBar,2,0,0,1,Challenged,Unknown,Challenged,0,0,0,blue
2016ctwat_qm55,67,67,,,20,20,0,0,0,0,Crossed,Crossed,Crossed,None,42,25,12,5,0,6,0,4,A_Portcullis,1,B_Moat,2,C_SallyPort,1,D_RoughTerrain,2,E_LowBar,1,5,0,0,Challenged,None,Unknown,0,0,0,red
2016ctwat_qm61,77,77,1,,14,10,4,0,0,0,Crossed,Crossed,Reached,Reached,63,35,18,10,0,9,0,0,A_Portcullis,2,B_Ramparts,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,0,0,0,Challenged,Unknown,Challenged,0,0,0,red
2016ctwat_qm64,66,66,1,,20,20,0,0,0,0,Crossed,Crossed,None,Crossed,46,30,6,10,0,3,0,2,A_Portcullis,0,B_Moat,2,C_SallyPort,2,D_RockWall,2,E_LowBar,2,0,0,0,Challenged,None,Challenged,0,0,0,blue
2016ctwat_qm71,87,87,1,,10,10,0,0,0,0,Crossed,None,Crossed,None,72,35,12,10,15,6,0,6,A_Portcullis,2,B_Ramparts,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,5,0,0,Challenged,Scaled,Challenged,0,0,0,blue
2016ctwat_sf2m1,101,81,1,,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,51,25,16,10,0,8,0,5,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,0,1,0,None,Challenged,Challenged,20,0,0,red
2016ctwat_sf2m2,48,48,,,22,20,2,0,0,0,Reached,Crossed,Reached,Crossed,26,20,6,0,0,3,0,1,A_ChevalDeFrise,1,B_Ramparts,1,C_SallyPort,0,D_RockWall,2,E_LowBar,2,0,3,1,Unknown,None,None,0,0,0,red
2016ctwat_sf2m3,85,85,,,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,40,20,10,10,0,5,0,4,A_ChevalDeFrise,1,B_Ramparts,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,15,0,0,Unknown,Challenged,Challenged,0,0,0,red
2016cthar_qf2m1,150,105,1,1,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,70,35,20,15,0,10,0,3,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,2,D_RockWall,2,E_LowBar,2,5,1,0,Challenged,Challenged,Challenged,20,25,0,blue
2016cthar_qf2m2,131,86,1,1,20,20,0,0,0,0,Crossed,Crossed,None,Crossed,61,30,16,15,0,8,0,-1,A_ChevalDeFrise,2,B_Moat,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,5,0,0,Challenged,Challenged,Challenged,20,25,0,blue
2016cthar_qf2m3,119,99,1,,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,64,35,14,15,0,7,0,2,A_ChevalDeFrise,2,B_Moat,2,C_SallyPort,2,D_RockWall,2,E_LowBar,2,5,0,1,Challenged,Challenged,Challenged,20,0,0,blue
2016cthar_qm17,73,73,1,,20,20,0,0,0,0,Crossed,Crossed,Crossed,None,48,30,8,10,0,4,0,6,A_Portcullis,2,B_Ramparts,2,C_Drawbridge,0,D_RockWall,2,E_LowBar,2,5,0,0,Challenged,Challenged,Unknown,0,0,0,red
2016cthar_qm23,116,116,1,1,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,76,25,36,15,0,8,4,-3,A_ChevalDeFrise,2,B_Moat,2,C_Drawbridge,0,D_RockWall,2,E_LowBar,2,10,2,0,Challenged,Challenged,Challenged,0,0,0,blue
2016cthar_qm3,76,76,,,14,10,4,0,0,0,Reached,Reached,Reached,Crossed,62,30,17,15,0,6,1,1,A_ChevalDeFrise,1,B_Moat,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,0,0,0,Challenged,Challenged,Challenged,0,0,0,red
2016cthar_qm31,73,73,1,,4,0,4,0,0,0,Reached,Reached,Reached,None,69,40,19,10,0,2,3,0,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,0,D_RoughTerrain,2,E_LowBar,2,0,3,1,None,Challenged,Challenged,0,0,0,blue
2016cthar_qm38,99,99,1,1,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,69,25,29,15,0,7,3,6,A_Portcullis,2,B_Ramparts,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,0,0,0,Challenged,Challenged,Challenged,0,0,0,red
2016cthar_qm42,125,125,1,1,22,20,2,0,0,0,Reached,Crossed,Reached,Crossed,103,30,48,10,15,4,8,6,A_Portcullis,2,B_Ramparts,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,0,0,0,Challenged,Scaled,Challenged,0,0,0,blue
2016cthar_qm50,88,88,1,1,22,20,2,0,0,0,Crossed,Crossed,Crossed,Reached,61,30,16,15,0,8,0,0,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,5,0,0,Challenged,Challenged,Challenged,0,0,0,red
2016cthar_qm57,55,55,,,10,10,0,0,0,0,Crossed,Crossed,None,None,40,25,10,5,0,5,0,4,A_ChevalDeFrise,2,B_Moat,2,C_SallyPort,0,D_RoughTerrain,2,E_LowBar,0,5,0,0,None,Challenged,None,0,0,0,blue
2016cthar_qm63,97,97,1,,30,20,0,10,1,0,Crossed,Crossed,None,Crossed,57,30,17,10,0,6,1,-1,A_Portcullis,2,B_Ramparts,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,10,0,0,Challenged,Challenged,None,0,0,0,blue
2016cthar_qm69,101,101,1,1,14,10,4,0,0,0,Reached,Crossed,Reached,Reached,87,35,37,15,0,6,5,2,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,0,0,0,Challenged,Challenged,Challenged,0,0,0,red
2016cthar_qm79,100,100,1,1,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,70,35,20,15,0,10,0,1,A_ChevalDeFrise,2,B_Moat,2,C_SallyPort,2,D_RoughTerrain,2,E_LowBar,2,0,0,0,Challenged,Challenged,Challenged,0,0,0,red
2016cthar_qm9,108,108,1,1,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,73,25,33,15,0,9,3,4,A_ChevalDeFrise,2,B_Moat,2,C_SallyPort,0,D_RoughTerrain,2,E_LowBar,2,5,0,0,Challenged,Challenged,Challenged,0,0,0,blue
2016cthar_sf1m1,0,-45,1,1,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,63,30,18,15,0,9,0,0,A_ChevalDeFrise,2,B_Moat,2,C_SallyPort,1,D_RoughTerrain,2,E_LowBar,2,5,3,0,Challenged,Challenged,Challenged,20,25,-143,blue
2016cthar_sf1m2,135,90,1,1,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,60,25,20,15,0,10,0,-7,A_ChevalDeFrise,2,B_Moat,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,0,1,1,Challenged,Challenged,Challenged,20,25,0,blue
