Key,"Total Points","Quals Score","Teleop Defenses Breached","Teleop Tower Captured","Auto Points","Auto Crossing Points","Auto Reach Points","Auto Boulder Points","Auto Boulders High","Auto Low Boulders","111 Auto","Robot 1 Auto","Robot 2 Auto","Robot 3 Auto","Teleop Score","Teleop Crossing Points","Teleop Boulder Points","Teleop Challenge Points","Teleop Scale Points","Teleop Boulders Low","Teleop Boulders High","Tower End Strength","Category A","Category A Crossings","Category B","Category B Crossings","Category C","Category C Crossings","Category D","Category D Crossings","Category E","Category E Crossings","Foul Points","Foul Count","Tech Foul Count","Tower Face A","Tower Face B","Tower Face C","Breach Points","Capture Points","Adjust Points",Color
2016ilpe_qf3m1,68,68,,,30,20,0,10,1,0,Crossed,Crossed,Crossed,None,38,25,13,0,0,4,1,6,A_ChevalDeFrise,2,B_Moat,2,C_SallyPort,0,D_RockWall,1,E_LowBar,2,0,0,0,None,None,None,0,0,0,red
2016ilpe_qf3m2,165,120,1,1,30,20,0,10,1,0,Crossed,Crossed,Crossed,None,85,30,30,10,15,5,4,3,A_ChevalDeFrise,2,B_Moat,2,C_Drawbridge,0,D_RockWall,2,E_LowBar,2,5,1,0,Challenged,Challenged,Scaled,20,25,0,red
2016ilpe_qf3m3,118,98,1,,30,20,0,10,1,0,Crossed,Crossed,Crossed,None,63,30,18,15,0,4,2,4,A_ChevalDeFrise,2,B_Moat,2,C_Drawbridge,0,D_RockWall,2,E_LowBar,2,5,0,0,Challenged,Challenged,Challenged,20,0,0,red
2016ilpe_qm16,80,80,,,10,10,0,0,0,0,Crossed,None,None,Crossed,65,35,25,5,0,0,5,2,A_Portcullis,1,B_Moat,2,C_SallyPort,1,D_RockWall,2,E_LowBar,2,5,0,0,Challenged,None,None,0,0,0,blue
2016ilpe_qm23,81,81,1,,10,0,0,10,1,0,None,None,None,None,71,40,21,10,0,3,3,6,A_ChevalDeFrise,2,B_Ramparts,2,C_Drawbridge,0,D_RoughTerrain,2,E_LowBar,2,0,0,1,Challenged,None,Challenged,0,0,0,blue
2016ilpe_qm3,49,49,,,14,0,4,10,1,0,Reached,Reached,Reached,None,30,30,0,0,0,0,0,4,A_ChevalDeFrise,1,B_Ramparts,2,C_Drawbridge,1,D_RockWall,0,E_LowBar,2,5,0,0,None,None,None,0,0,0,red
2016ilpe_qm30,70,70,,,30,20,0,10,1,0,Crossed,Crossed,None,Crossed,40,25,5,10,0,0,1,-3,A_ChevalDeFrise,2,B_Ramparts,1,C_SallyPort,0,D_RockWall,2,E_LowBar,2,0,0,0,Challenged,Challenged,None,0,0,0,red
2016ilpe_qm35,90,90,1,,20,10,0,10,1,0,Crossed,Crossed,None,None,70,45,15,10,0,0,3,1,A_ChevalDeFrise,2,B_Moat,2,C_SallyPort,2,D_RoughTerrain,2,E_LowBar,2,0,2,0,None,Challenged,Challenged,0,0,0,blue
2016ilpe_qm41,99,99,1,,30,20,0,10,1,0,Crossed,Crossed,Crossed,None,69,30,24,15,0,2,4,0,A_ChevalDeFrise,0,B_Moat,2,C_SallyPort,2,D_RoughTerrain,2,E_LowBar,2,0,0,0,Challenged,Challenged,Challenged,0,0,0,red
2016ilpe_qm53,87,87,1,,30,20,0,10,1,0,None,Crossed,Crossed,None,57,30,2,10,15,1,0,4,A_Portcullis,2,B_Moat,2,C_Drawbridge,0,D_RockWall,2,E_LowBar,2,0,0,0,Challenged,Scaled,Challenged,0,0,0,blue
2016ilpe_qm56,102,102,1,,22,10,2,10,1,0,Crossed,Reached,None,Crossed,80,35,40,5,0,0,8,3,A_ChevalDeFrise,2,B_Moat,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,0,0,0,Challenged,Unknown,Unknown,0,0,0,red
2016ilpe_qm61,96,96,1,,30,20,0,10,1,0,Crossed,Crossed,None,Crossed,66,30,26,10,0,8,2,6,A_Portcullis,2,B_Ramparts,2,C_SallyPort,0,D_RoughTerrain,2,E_LowBar,2,0,0,0,Challenged,Unknown,Challenged,0,0,0,red
2016ilpe_qm8,62,62,,,10,10,0,0,0,0,Crossed,Crossed,None,None,52,30,17,5,0,1,3,3,A_Portcullis,0,B_Moat,1,C_Drawbridge,2,D_RockWall,2,E_LowBar,2,0,0,0,Unknown,Unknown,Challenged,0,0,0,blue
2016ilpe_sf2m1,119,99,1,,30,20,0,10,1,0,Crossed,Crossed,Crossed,None,69,30,24,15,0,2,4,0,A_ChevalDeFrise,2,B_Ramparts,2,C_Drawbridge,0,D_RockWall,2,E_LowBar,2,0,1,0,Challenged,Challenged,Challenged,20,0,0,red
2016ilpe_sf2m2,64,64,,,20,20,0,0,0,0,Crossed,Crossed,Crossed,None,44,25,9,10,0,2,1,-4,A_ChevalDeFrise,1,B_Moat,2,C_Drawbridge,0,D_RockWall,2,E_LowBar,2,0,0,0,None,Challenged,Challenged,0,0,0,red
2016ilpe_sf2m3,79,79,,,30,20,0,10,1,0,Crossed,Crossed,Crossed,None,44,25,9,10,0,2,1,2,A_ChevalDeFrise,1,B_Moat,2,C_Drawbridge,0,D_RockWall,2,E_LowBar,2,5,0,0,Unknown,Challenged,Challenged,0,0,0,red
2016ilch_f1m1,121,101,1,,30,20,0,10,1,0,Crossed,Crossed,Crossed,None,71,30,31,10,0,3,5,-2,A_ChevalDeFrise,2,B_Ramparts,2,C_Drawbridge,0,D_RockWall,2,E_LowBar,2,0,0,0,Challenged,Challenged,None,20,0,0,blue
2016ilch_f1m2,140,95,1,1,30,20,0,10,1,0,Crossed,Crossed,Crossed,None,65,30,20,15,0,5,2,-3,A_ChevalDeFrise,2,B_Ramparts,2,C_Drawbridge,0,D_RockWall,2,E_LowBar,2,0,0,0,Challenged,Challenged,Challenged,20,25,0,blue
2016ilch_qf3m1,189,144,1,1,30,20,0,10,1,0,Crossed,Crossed,Crossed,None,114,40,59,15,0,2,11,3,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,2,D_RockWall,2,E_LowBar,2,0,0,0,Challenged,Challenged,Challenged,20,25,0,red
