Key,"Total Points","Quals Score","Teleop Defenses Breached","Teleop Tower Captured","Auto Points","Auto Crossing Points","Auto Reach Points","Auto Boulder Points","Auto Boulders High","Auto Low Boulders","2056 Auto","Robot 1 Auto","Robot 2 Auto","Robot 3 Auto","Teleop Score","Teleop Crossing Points","Teleop Boulder Points","Teleop Challenge Points","Teleop Scale Points","Teleop Boulders Low","Teleop Boulders High","Tower End Strength","Category A","Category A Crossings","Category B","Category B Crossings","Category C","Category C Crossings","Category D","Category D Crossings","Category E","Category E Crossings","Foul Points","Foul Count","Tech Foul Count","Tower Face A","Tower Face B","Tower Face C","Breach Points","Capture Points","Adjust Points",Color
2016onwi_f1m1,145,125,1,,50,30,0,20,2,0,Crossed,Crossed,Crossed,Crossed,75,25,30,5,15,0,6,-4,A_ChevalDeFrise,2,B_Moat,2,C_Drawbridge,0,D_RockWall,2,E_LowBar,2,0,1,0,None,Scaled,Challenged,20,0,0,red
2016onwi_f1m2,182,137,1,1,50,30,0,20,2,0,Crossed,Crossed,Crossed,Crossed,87,25,37,10,15,1,7,-3,A_ChevalDeFrise,2,B_Moat,2,C_Drawbridge,0,D_RockWall,2,E_LowBar,2,0,0,0,Challenged,Scaled,Challenged,20,25,0,red
2016onwi_f1m3,170,125,1,1,40,30,0,10,1,0,Crossed,Crossed,Crossed,Crossed,85,25,35,10,15,0,7,1,A_ChevalDeFrise,2,B_Moat,2,C_Drawbridge,0,D_RockWall,2,E_LowBar,2,0,0,0,Challenged,Scaled,Challenged,20,25,0,red
2016onwi_qf1m1,200,155,1,1,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,110,25,50,5,30,0,10,4,A_ChevalDeFrise,2,B_Ramparts,2,C_Drawbridge,0,D_RoughTerrain,2,E_LowBar,2,15,0,0,Challenged,Scaled,Scaled,20,25,0,red
2016onwi_qf1m2,205,160,1,1,50,30,0,20,2,0,Crossed,Crossed,Crossed,Crossed,100,25,50,10,15,0,10,6,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,10,0,0,Challenged,Scaled,Challenged,20,25,0,red
2016onwi_qm10,108,108,1,,32,20,2,10,1,0,Crossed,Crossed,Crossed,Reached,76,30,26,5,15,3,4,2,A_Portcullis,2,B_Ramparts,2,C_SallyPort,0,D_RoughTerrain,2,E_LowBar,2,0,1,0,Unknown,Challenged,Scaled,0,0,0,blue
2016onwi_qm26,115,115,1,,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,85,25,35,10,15,0,7,1,A_ChevalDeFrise,2,B_Ramparts,2,C_Drawbridge,0,D_RockWall,2,E_LowBar,2,0,0,0,Scaled,Challenged,Challenged,0,0,0,blue
2016onwi_qm34,134,134,1,1,24,10,4,10,1,0,Crossed,Crossed,Reached,Reached,95,35,35,10,15,0,7,6,A_Portcullis,2,B_Ramparts,2,C_Drawbridge,0,D_RockWall,2,E_LowBar,2,15,1,0,Challenged,Challenged,Scaled,0,0,0,red
2016onwi_qm41,104,104,,,22,20,2,0,0,0,Crossed,Crossed,Crossed,Reached,77,25,27,10,15,1,5,-1,A_ChevalDeFrise,2,B_Moat,1,C_SallyPort,0,D_RockWall,2,E_LowBar,2,5,6,1,Challenged,Challenged,Scaled,0,0,0,red
2016onwi_qm50,120,120,1,,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,80,30,25,10,15,0,5,5,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,1,D_RoughTerrain,2,E_LowBar,2,10,0,0,Scaled,Challenged,Challenged,0,0,0,blue
