Key,"Total Points","Quals Score","Teleop Defenses Breached","Teleop Tower Captured","Auto Points","Auto Crossing Points","Auto Reach Points","Auto Boulder Points","Auto Boulders High","Auto Low Boulders","5030 Auto","Robot 1 Auto","Robot 2 Auto","Robot 3 Auto","Teleop Score","Teleop Crossing Points","Teleop Boulder Points","Teleop Challenge Points","Teleop Scale Points","Teleop Boulders Low","Teleop Boulders High","Tower End Strength","Category A","Category A Crossings","Category B","Category B Crossings","Category C","Category C Crossings","Category D","Category D Crossings","Category E","Category E Crossings","Foul Points","Foul Count","Tech Foul Count","Tower Face A","Tower Face B","Tower Face C","Breach Points","Capture Points","Adjust Points",Color
red,0,,E_LowBar,0
blue,0,,E_LowBar,0
2016tes_qm13,117,117,1,,22,20,2,0,0,0,Reached,Crossed,Reached,Crossed,95,40,40,15,0,0,8,-7,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,2,D_RockWall,2,E_LowBar,2,0,2,0,Challenged,Challenged,Challenged,0,0,0,blue
2016tes_qm27,109,109,1,,14,10,4,0,0,0,Crossed,Crossed,Reached,Reached,95,35,55,5,0,0,11,-5,A_ChevalDeFrise,2,B_Moat,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,0,0,0,None,None,Challenged,0,0,0,red
2016tes_qm49,104,104,1,,40,30,0,10,1,0,Crossed,Crossed,Crossed,Crossed,59,25,24,10,0,2,4,0,A_ChevalDeFrise,2,B_Moat,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,5,2,2,Challenged,None,Challenged,0,0,0,red
2016tes_qm5,66,66,1,,10,10,0,0,0,0,None,Crossed,None,None,56,35,16,5,0,3,2,1,A_ChevalDeFrise,2,B_Moat,0,C_Drawbridge,2,D_RoughTerrain,2,E_LowBar,2,0,0,0,None,None,Challenged,0,0,0,red
2016tes_qm59,129,129,1,1,30,20,0,10,1,0,Crossed,None,Crossed,Crossed,94,30,39,10,15,2,7,5,A_ChevalDeFrise,2,B_Moat,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,5,0,0,Scaled,Challenged,Challenged,0,0,0,blue
2016tes_qm70,72,72,,,12,10,2,0,0,0,Crossed,Crossed,Reached,None,55,25,25,5,0,0,5,4,A_ChevalDeFrise,1,B_Moat,1,C_SallyPort,0,D_RockWall,2,E_LowBar,2,5,1,1,Unknown,Challenged,None,0,0,0,blue
2016tes_qm84,150,150,1,1,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,95,25,55,15,0,0,11,1,A_ChevalDeFrise,2,B_Ramparts,2,C_Drawbridge,0,D_RoughTerrain,2,E_LowBar,2,25,0,0,Challenged,Challenged,Challenged,0,0,0,blue
2016tes_qm93,127,127,1,,42,20,2,20,2,0,Reached,Crossed,Crossed,Reached,85,30,45,10,0,0,9,-2,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,0,0,0,Challenged,Challenged,None,0,0,0,red
2016nyro_qm1,87,87,1,,10,10,0,0,0,0,None,None,None,Crossed,72,45,17,10,0,1,3,8,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,2,D_RockWall,2,E_LowBar,2,5,0,0,Challenged,Challenged,None,0,0,0,red
2016nyro_qm16,102,102,1,,22,20,2,0,0,0,Reached,Crossed,Crossed,Reached,75,40,25,10,0,10,1,2,A_Portcullis,2,B_Ramparts,2,C_SallyPort,2,D_RockWall,2,E_LowBar,2,5,0,0,None,Challenged,Challenged,0,0,0,blue
2016nyro_qm24,66,66,1,,22,20,2,0,0,0,Crossed,Crossed,Crossed,Reached,44,30,4,10,0,2,0,3,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,0,1,0,None,Challenged,Challenged,0,0,0,blue
2016nyro_qm32,60,60,1,,20,20,0,0,0,0,Crossed,Crossed,None,Crossed,40,35,0,5,0,0,0,-5,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,1,D_RockWall,2,E_LowBar,2,0,2,0,None,Unknown,Challenged,0,0,0,blue
2016nyro_qm40,83,83,1,,20,20,0,0,0,0,None,Crossed,Crossed,None,63,40,18,5,0,9,0,4,A_Portcullis,2,B_Ramparts,2,C_SallyPort,2,D_RockWall,2,E_LowBar,2,0,1,0,None,None,Challenged,0,0,0,blue
