Key,"Total Points","Quals Score","Teleop Defenses Breached","Teleop Tower Captured","Auto Points","Auto Crossing Points","Auto Reach Points","Auto Boulder Points","Auto Boulders High","Auto Low Boulders","5804 Auto","Robot 1 Auto","Robot 2 Auto","Robot 3 Auto","Teleop Score","Teleop Crossing Points","Teleop Boulder Points","Teleop Challenge Points","Teleop Scale Points","Teleop Boulders Low","Teleop Boulders High","Tower End Strength","Category A","Category A Crossings","Category B","Category B Crossings","Category C","Category C Crossings","Category D","Category D Crossings","Category E","Category E Crossings","Foul Points","Foul Count","Tech Foul Count","Tower Face A","Tower Face B","Tower Face C","Breach Points","Capture Points","Adjust Points",Color
2016vapor_f1m1,145,100,1,1,22,20,2,0,0,0,Crossed,Reached,Crossed,Crossed,73,30,18,10,15,9,0,5,A_ChevalDeFrise,2,B_Ramparts,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,5,0,0,Challenged,Scaled,Challenged,20,25,0,blue
2016vapor_f1m2,162,117,1,1,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,77,30,22,10,15,11,0,0,A_ChevalDeFrise,1,B_Ramparts,2,C_SallyPort,2,D_RockWall,2,E_LowBar,2,10,0,0,Challenged,Scaled,Challenged,20,25,0,blue
2016vapor_qf4m1,119,99,1,,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,69,25,19,10,15,2,3,4,A_ChevalDeFrise,2,B_Moat,2,C_Drawbridge,0,D_RockWall,2,E_LowBar,2,0,0,0,Challenged,Scaled,Challenged,20,0,0,red
2016vapor_qf4m2,122,102,1,,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,67,25,17,10,15,1,3,5,A_ChevalDeFrise,0,B_Moat,2,C_SallyPort,2,D_RockWall,2,E_LowBar,2,5,0,0,Challenged,Scaled,Challenged,20,0,0,red
2016vapor_qm15,80,80,1,,22,20,2,0,0,0,Crossed,Reached,Crossed,Crossed,58,35,8,15,0,4,0,4,A_Portcullis,2,B_Moat,2,C_SallyPort,1,D_RockWall,2,E_LowBar,2,0,0,0,Challenged,Challenged,Challenged,0,0,0,red
2016vapor_qm19,55,55,1,,20,20,0,0,0,0,Crossed,Crossed,Crossed,None,35,30,0,5,0,0,0,6,A_Portcullis,0,B_Ramparts,2,C_SallyPort,2,D_RockWall,2,E_LowBar,2,0,1,0,Challenged,Unknown,None,0,0,0,blue
2016vapor_qm2,35,35,,,10,10,0,0,0,0,Crossed,Crossed,None,None,25,25,0,0,0,0,0,0,A_Portcullis,0,B_Moat,2,C_SallyPort,0,D_RoughTerrain,2,E_LowBar,2,0,1,0,Unknown,Unknown,None,0,0,0,blue
2016vapor_qm28,75,75,1,,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,45,30,0,15,0,0,0,8,A_Portcullis,2,B_Ramparts,2,C_SallyPort,2,D_RockWall,1,E_LowBar,2,0,0,0,Challenged,Challenged,Challenged,0,0,0,red
2016vapor_qm31,75,75,1,,20,20,0,0,0,0,Crossed,None,Crossed,Crossed,45,30,0,15,0,0,0,6,A_ChevalDeFrise,2,B_Moat,2,C_SallyPort,0,D_RockWall,2,E_LowBar,2,10,0,0,Challenged,Challenged,Challenged,0,0,0,blue
2016vapor_qm39,63,63,,,22,20,2,0,0,0,Reached,Crossed,Reached,Crossed,41,25,6,10,0,3,0,2,A_ChevalDeFrise,0,B_Ramparts,2,C_SallyPort,1,D_RockWall,2,E_LowBar,2,0,4,0,Challenged,None,Challenged,0,0,0,red
2016vapor_qm45,75,75,1,,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,45,30,0,15,0,0,0,8,A_ChevalDeFrise,2,B_Moat,2,C_Drawbridge,1,D_RoughTerrain,2,E_LowBar,2,0,0,0,Challenged,Challenged,Challenged,0,0,0,blue
2016vapor_qm48,75,75,1,,30,30,0,0,0,0,Crossed,Crossed,Crossed,Crossed,45,25,5,15,0,0,1,4,A_Portcullis,0,B_Moat,2,C_SallyPort,2,D_RoughTerrain,2,E_LowBar,2,0,1,0,Challenged,Challenged,Challenged,0,0,0,red
2016vapor_qm53,61,61,,,22,20,2,0,0,0,Crossed,Reached,Crossed,Crossed,34,25,4,5,0,2,0,3,A_ChevalDeFrise,2,B_Moat,1,C_Drawbridge,0,D_RockWall,2,E_LowBar,2,5,0,0,None,None,Challenged,0,0,0,red
2016vapor_qm62,40,40,,,20,20,0,0,0,0,None,Crossed,Crossed,None,20,20,0,0,0,0,0,8,A_ChevalDeFrise,0,B_Ramparts,2,C_Drawbridge,1,D_RoughTerrain,2,E_LowBar,1,0,0,0,None,None,None,0,0,0,blue
2016vapor_qm66,39,39,,,4,0,4,0,0,0,None,None,Reached,Reached,35,30,0,5,0,0,0,7,A_Portcullis,0,B_Moat,0,C_SallyPort,2,D_RockWall,2,E_LowBar,2,0,0,0,None,Challenged,None,0,0,0,red
2016vapor_qm7,72,72,,,12,10,2,0,0,0,None,Crossed,Reached,None,60,30,10,5,15,5,0,8,A_ChevalDeFrise,1,B_Ramparts,2,C_Drawbridge,0,D_RockWall,2,E_LowBar,2,0,1,0,Challenged,Scaled,Unknown,0,0,0,red
2016vapor_sf2m1,113,93,1,,22,20,2,0,0,0,Crossed,Reached,Crossed,Crossed,61,30,6,10,15,3,0,1,A_Portcullis,0,B_Moat,2,C_SallyPort,2,D_RoughTerrain,2,E_LowBar,2,10,1,0,Challenged,Scaled,Challenged,20,0,0,blue
